Race,Age,Is English your native language?,Gender,What hand do you use to write with?,How the participant came to the test - based on HTTP Referer,Participant's technical location - ISO country code,Individual Extraversion Score,Individual Neuroticism Score,Individual Agreeableness Score,Individual Conscientiousness Score,Individual Openness Score
Caucasian (European),19,Yes,Female,Right,From another page on the test website,United States,2.6,2.9,2.9,2.4,4.8
Caucasian (European),19,Yes,Female,Right,From another page on the test website,United States,3.1,4,4.1,2.6,5
Caucasian (European),19,Yes,Female,Right,From another page on the test website,United States,4.1,2.7,4.9,4.3,4.1
Caucasian (European),19,Yes,Female,Right,From another page on the test website,United States,3.5,3.8,4.6,2.6,3.6
Caucasian (European),19,Yes,Female,Right,From another page on the test website,United States,1.2,2.9,3.2,4.3,3.1
Caucasian (European),19,Yes,Female,Right,From another page on the test website,United States,3.6,2.3,3.8,4.4,3.4
Caucasian (European),19,Yes,Female,Right,From another page on the test website,United States,2.5,2.5,3.4,3.2,3.6
Caucasian (European),19,Yes,Female,Right,From another page on the test website,United States,2.2,3.5,2.9,3.3,4
Caucasian (European),19,Yes,Female,Right,From another page on the test website,United States,4,3.8,5,3.5,4.5
Caucasian (European),19,Yes,Female,Right,From another page on the test website,United States,2.6,2.7,4.9,3.7,4.1
Caucasian (European),19,Yes,Female,Right,From another page on the test website,United States,2.6,3.2,3.4,2.9,3.3
Caucasian (European),19,Yes,Female,Right,From another page on the test website,United States,2.2,3.4,3.4,4.6,3.8
Caucasian (European),19,Yes,Female,Right,From another page on the test website,United States,3.1,3.9,4.4,2.7,4.9
Caucasian (European),19,Yes,Female,Right,From another page on the test website,United States,2,3.3,3.9,3.5,3.3
Caucasian (European),19,Yes,Female,Right,From another page on the test website,United States,1.6,4.2,4.2,4,3.9
Caucasian (European),19,Yes,Male,Both,From another page on the test website,Canada,2.5,3.2,3.8,3,4.2
Caucasian (European),19,Yes,Male,Both,From another page on the test website,United States,1.3,3.2,3.6,4,4.8
Caucasian (European),19,Yes,Male,Both,From another page on the test website,United States,4.2,1.6,3.4,3.6,4.8
Caucasian (European),19,Yes,Male,Both,From another page on the test website,United States,2.9,1.7,1.8,1.8,4.5
Caucasian (European),19,No,Male,Left,From another page on the test website,Czech Republic,1.4,2.8,2.3,2.7,3.2
Caucasian (European),19,No,Male,Left,From another page on the test website,Lithuania,2.4,3.7,3.8,2.4,3.7
Caucasian (European),19,No,Male,Left,From another page on the test website,Portugal,4.5,4.5,2,2.5,5
Caucasian (European),19,No,Male,Left,From another page on the test website,Sweden,2.3,3.3,2.4,3.2,3.8
Caucasian (European),19,Yes,Male,Left,From another page on the test website,Australia,5,4.8,4.6,2.7,5
Caucasian (European),19,Yes,Male,Left,From another page on the test website,United States,2.6,3.8,3.4,3.1,4.5
Caucasian (European),19,Yes,Male,Left,From another page on the test website,United States,3.7,4,4.2,2.5,4
Caucasian (European),19,Yes,Male,Left,From another page on the test website,United States,2.7,2.4,3.6,3.2,3.9
Caucasian (European),19,Yes,Male,Left,From another page on the test website,United States,1.2,4.5,2.2,4.1,4.3
Caucasian (European),19,Yes,Male,Left,From another page on the test website,United States,1.7,2.5,4.2,3,4.2
Caucasian (European),19,Yes,Male,Left,From another page on the test website,United States,2.2,4.1,3.4,2.5,2.9
Caucasian (European),19,Yes,Male,Left,From another page on the test website,United States,1.8,3.3,4,4.1,4.2
Caucasian (European),19,Yes,Male,Left,From another page on the test website,United States,1.1,1.2,1.3,5,5
Caucasian (European),19,Yes,Male,Left,From another page on the test website,United States,3.8,2.7,2.1,3.8,4.5
Caucasian (European),19,Yes,Male,Left,From another page on the test website,South Africa,4,3.6,3.9,3.7,4.1
Caucasian (European),19,No,Male,Right,From another page on the test website,Albania,1.4,3.5,3.1,2.9,4.1
Caucasian (European),19,No,Male,Right,From another page on the test website,Argentina,1.6,2.5,2.7,2.8,4.4
Caucasian (European),19,No,Male,Right,From another page on the test website,Argentina,2.8,2.6,3.4,2.8,3.8
Caucasian (European),19,No,Male,Right,From another page on the test website,Bosnia and Herzegovina,2.6,2.1,4.3,3.3,4.1
Caucasian (European),19,No,Male,Right,From another page on the test website,Brazil,1.5,4.2,2.3,3.5,4.3
Caucasian (European),19,No,Male,Right,From another page on the test website,Canada,3.6,2.1,4.1,2.5,4.5
Caucasian (European),19,No,Male,Right,From another page on the test website,Canada,1.6,4.4,4.3,2.7,4
Caucasian (European),19,No,Male,Right,From another page on the test website,Germany,2.4,2.7,3.9,3.4,3.5
Caucasian (European),19,No,Male,Right,From another page on the test website,Germany,3.9,2,2.5,3.1,4.8
Caucasian (European),19,No,Male,Right,From another page on the test website,Germany,2.9,3.5,3.4,3.7,3.9
Caucasian (European),19,No,Male,Right,From another page on the test website,Denmark,5,1.4,1.9,2,4.9
Caucasian (European),19,No,Male,Right,From another page on the test website,Finland,2,2.9,3.1,2.1,3.8
Caucasian (European),19,No,Male,Right,From another page on the test website,Finland,1.7,1.6,2,3,4.3
Caucasian (European),19,No,Male,Right,From another page on the test website,Finland,1.9,3.9,2.5,3.6,4.3
Caucasian (European),19,No,Male,Right,From another page on the test website,France,2.9,2.6,4,2.9,3.6
Caucasian (European),19,No,Male,Right,From another page on the test website,France,3.1,3.6,3.2,3.2,4.3
Caucasian (European),19,No,Male,Right,From another page on the test website,Greece,2.7,2.5,4,3.9,3.2
Caucasian (European),19,No,Male,Right,From another page on the test website,Hungary,4.5,2.7,3.5,3.4,4.3
Caucasian (European),19,No,Male,Right,From another page on the test website,India,3.2,3.4,2.4,2.2,5
Caucasian (European),19,No,Male,Right,From another page on the test website,Iceland,2.3,4,3.3,3.2,3.7
Caucasian (European),19,No,Male,Right,From another page on the test website,Italy,2.5,3.5,4.2,3.1,3.9
Caucasian (European),19,No,Male,Right,From another page on the test website,Italy,3,3.9,3.9,3.5,4.1
Caucasian (European),19,No,Male,Right,From another page on the test website,Italy,1.4,3.3,1.6,3.8,2.7
Caucasian (European),19,No,Male,Right,From another page on the test website,Lithuania,2.9,3.3,3.4,2.7,3.8
Caucasian (European),19,No,Male,Right,From another page on the test website,Netherlands,1.7,4.6,3.1,2.8,3.7
Caucasian (European),19,No,Male,Right,From another page on the test website,Netherlands,3.3,4.2,3.1,2.7,4.9
Caucasian (European),19,No,Male,Right,From another page on the test website,Netherlands,2.4,3,3,2.6,4.7
Caucasian (European),19,No,Male,Right,From another page on the test website,Poland,3.8,3.7,2.6,3.1,4.4
Caucasian (European),19,No,Male,Right,From another page on the test website,Poland,1.9,2.5,3.2,2.8,3.3
Caucasian (European),19,No,Male,Right,From another page on the test website,Poland,1.5,4.4,2.9,2.9,3.7
Caucasian (European),19,No,Male,Right,From another page on the test website,Portugal,2.4,4,3.2,2.4,4.5
Caucasian (European),19,No,Male,Right,From another page on the test website,Portugal,1.3,2.6,2.7,3.5,3.6
Caucasian (European),19,No,Male,Right,From another page on the test website,Portugal,1.7,4.4,3.2,3.8,4.4
Caucasian (European),19,No,Male,Right,From another page on the test website,Romania,1.2,3.2,3.2,1.8,4.4
Caucasian (European),19,No,Male,Right,From another page on the test website,Romania,1.9,3.7,2.9,3.1,2.8
Caucasian (European),19,No,Male,Right,From another page on the test website,Romania,2.2,2.8,3.3,3.2,4.4
Caucasian (European),19,No,Male,Right,From another page on the test website,Russian Federation,2.7,3.1,3.6,3.8,4.8
Caucasian (European),19,No,Male,Right,From another page on the test website,Russian Federation,1.7,3.3,3.2,3,3
Caucasian (European),19,No,Male,Right,From another page on the test website,Sweden,2.2,2.5,2.7,2.8,3.7
Caucasian (European),19,No,Male,Right,From another page on the test website,Slovenia,2.7,3.2,3.9,2.4,4.4
Caucasian (European),19,No,Male,Right,From another page on the test website,Slovenia,2.9,3.3,3.6,2,2.9
Caucasian (European),19,No,Male,Right,From another page on the test website,Slovenia,2.3,2.8,3.4,3,3.9
Caucasian (European),19,No,Male,Right,From another page on the test website,Slovenia,1,2.5,2.7,2.2,4.9
Caucasian (European),19,No,Male,Right,From another page on the test website,Turkey,3.9,3.5,3.2,2.5,4.6
Caucasian (European),19,No,Male,Right,From another page on the test website,Ukraine,2.7,2.8,2.2,1.6,4.1
Caucasian (European),19,No,Male,Right,From another page on the test website,United States,3.7,2.3,2.8,2.8,4.1
Caucasian (European),19,Yes,Male,Right,From another page on the test website,Australia,2.2,2.1,3.2,3.7,3.6
Caucasian (European),19,Yes,Male,Right,From another page on the test website,Australia,2.2,1.6,2.6,2.8,4.2
Caucasian (European),19,Yes,Male,Right,From another page on the test website,Australia,4.1,2.9,4.2,2.9,4.5
Caucasian (European),19,Yes,Male,Right,From another page on the test website,Australia,2.2,3.1,3.6,2.5,4.2
Caucasian (European),19,Yes,Male,Right,From another page on the test website,Australia,3.3,3.5,4.2,3.4,4.1
Caucasian (European),19,Yes,Male,Right,From another page on the test website,Australia,3.8,3.1,3.8,2.1,4.1
Caucasian (European),19,Yes,Male,Right,From another page on the test website,Australia,3.4,2.6,4.2,2.8,3.5
Caucasian (European),19,Yes,Male,Right,From another page on the test website,Canada,2.1,3.8,3,3.1,3.9
Caucasian (European),19,Yes,Male,Right,From another page on the test website,Canada,3.4,2.7,4.8,3.2,4
Caucasian (European),19,Yes,Male,Right,From another page on the test website,Canada,1.7,3.2,4,2.6,3.7
Caucasian (European),19,Yes,Male,Right,From another page on the test website,Canada,2,3.2,4,3.7,4.6
Caucasian (European),19,Yes,Male,Right,From another page on the test website,Canada,3.2,2.2,4.8,3.7,4
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United Kingdom,3.8,1.2,3.5,2.7,4.6
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United Kingdom,3,3.6,4.2,2.7,4.1
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United Kingdom,3.3,2.6,3.4,3.8,3.9
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United Kingdom,3.2,4,3.6,2.5,3.8
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United Kingdom,2.3,2.3,2.4,2.9,3.6
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United Kingdom,3.5,3.5,4.8,4.2,4.5
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United Kingdom,3.1,3.8,3,3,4.2
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United Kingdom,2.6,2.4,2.7,2,4.4
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United Kingdom,3.4,3.6,3.9,3.7,3.7
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United Kingdom,2.5,2.2,3.7,2.9,3.6
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United Kingdom,1.3,3.8,3.5,3.9,4.1
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United Kingdom,3,3.2,3.9,4.2,4.5
Caucasian (European),19,Yes,Male,Right,From another page on the test website,Ireland,3,3.2,3.9,2.2,4.6
Caucasian (European),19,Yes,Male,Right,From another page on the test website,Ireland,4,3.2,3.8,2.6,3.3
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United States,1.8,3.4,4.6,3.7,4.9
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United States,2.3,2.4,3.8,1.6,4.5
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United States,3.4,3.4,3.4,2.5,4
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United States,2.5,3.1,5,3.5,4.5
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United States,2.1,3.6,4.1,1.6,4.7
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United States,2.7,3.5,3.3,3,4.2
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United States,2.7,2.3,4.6,3.4,4.1
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United States,3.9,1,3.2,2.8,4.6
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United States,2.3,2,2.8,2.8,3.3
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United States,4,4.1,4.2,3.9,4.2
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United States,2.2,3.2,2.8,2.8,3.5
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United States,3,2.8,3.9,2.4,4.2
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United States,2.2,2.8,3.2,3.9,3.9
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United States,4.1,2.7,4.4,3.7,3.8
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United States,3.4,2.3,4.2,4,4.4
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United States,1.3,2.4,4.2,3.9,4.3
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United States,3.6,3.1,3.3,2.7,3.8
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United States,1.8,3.5,2.6,4.1,3.8
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United States,2.7,2.6,2.6,3.6,4
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United States,3.1,3.5,4.3,2.3,5
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United States,1.2,4.2,3.8,2.8,3.8
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United States,2.1,3.4,3.2,3.6,4.3
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United States,3.9,3.2,3.3,3.3,4.4
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United States,2.7,1.8,3,3.2,4.5
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United States,2.8,2.5,4.3,2.7,3.5
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United States,3.2,3.1,3.9,3.1,3.7
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United States,3.1,1.5,4.5,2.6,4.7
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United States,4.6,1.9,3.5,3.5,3.7
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United States,3,3.7,3.7,3.3,3.2
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United States,2.8,2.5,2.8,2.1,4.4
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United States,3.1,4.4,3,2.8,4.2
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United States,2.3,2.1,3.8,3.4,4.5
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United States,2.2,3.9,3.4,2.1,4.6
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United States,2.1,2.8,3.2,4.4,2.8
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United States,3.1,1.9,3.7,2.2,4.8
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United States,3.1,1.7,4,3,4.5
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United States,2.3,2.6,2,3.4,3.9
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United States,3.1,3.5,4.7,2.6,4.6
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United States,2.3,3.1,3.6,3.7,4.3
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United States,2.6,1.1,4.6,1.9,4.6
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United States,5,4.5,3.6,3.2,4.6
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United States,2.6,2.3,4.5,3.5,3.3
Caucasian (European),19,Yes,Male,Right,From another page on the test website,United States,2.8,2.6,2.8,3.9,2.9
Caucasian (Indian),19,Yes,Female,Left,Other source,United States,4.1,1.2,4.6,4.7,3.7
Caucasian (Indian),19,Yes,Female,Right,Other source,United States,1.6,3.6,3.6,4.5,3.5
Caucasian (Indian),19,No,Male,Right,Other source,India,3.2,3.1,3.3,3.6,3.6
Caucasian (Indian),19,No,Male,Right,Other source,India,3.8,2.1,4.2,3.3,5
Caucasian (Indian),19,Yes,Female,Right,"From any url with "".edu"" in its domain name",United States,4.1,3,3.9,4.2,3.7
Caucasian (Indian),19,Yes,Female,Right,"From any url with "".edu"" in its domain name",United States,3.1,3.8,3.4,3.8,3.4
Caucasian (Indian),19,Yes,Female,Right,"From any url with "".edu"" in its domain name",United States,3.1,3.6,3.3,3.7,3.3
Caucasian (Indian),19,No,Female,Right,From Google,India,3.3,3.8,4.9,3.4,3.6
Caucasian (Indian),19,No,Female,Right,From Google,United States,1.8,3.6,2.9,2.6,3.5
Caucasian (Indian),19,Yes,Female,Right,From Google,United States,2.1,2.5,4.6,3.9,4.7
Caucasian (Indian),19,Yes,Female,Right,From Google,United States,3.2,4.5,3.5,3,3.9
Caucasian (Indian),19,Yes,Female,Right,From Google,United States,4.4,1.8,4.8,4.2,4.2
Caucasian (Indian),19,Yes,Male,Left,From Google,United States,2.7,1.8,4.1,4.4,4.7
Caucasian (Indian),19,Yes,Male,Right,From Google,United Kingdom,4.2,2.5,5,3.8,4.5
Caucasian (Indian),19,Yes,Male,Right,From Google,India,1,1.9,1.2,1.8,5
Caucasian (Indian),19,No,Female,Left,From another page on the test website,India,2.5,4.2,4.1,3.4,4.1
Caucasian (Indian),19,Yes,Female,Left,From another page on the test website,United States,1.9,4,4.3,4,3.6
Caucasian (Indian),19,No,Female,Right,From another page on the test website,India,3.4,3.2,3.9,4.6,4.6
Caucasian (Indian),19,No,Female,Right,From another page on the test website,India,2.7,3.9,2.1,4,3.7
Caucasian (Indian),19,No,Female,Right,From another page on the test website,India,4,3.5,3.7,3.2,2.9
Caucasian (Indian),19,No,Female,Right,From another page on the test website,India,2.9,4.1,4.3,2.9,4.2
Caucasian (Indian),19,No,Female,Right,From another page on the test website,India,2.9,3.3,3.6,3,2.9
Caucasian (Indian),19,No,Female,Right,From another page on the test website,India,2.2,3.1,3.3,2.4,3.5
Caucasian (Indian),19,No,Female,Right,From another page on the test website,India,2.6,4.6,4.5,3.2,3.4
Caucasian (Indian),19,No,Female,Right,From another page on the test website,India,2.6,3.4,4.6,4.6,4.2
Caucasian (Indian),19,No,Female,Right,From another page on the test website,India,2.8,3.8,3.3,3.1,4
Caucasian (Indian),19,No,Female,Right,From another page on the test website,India,3.2,3.3,3.8,3.2,4.6
Caucasian (Indian),19,No,Female,Right,From another page on the test website,India,3.3,3.8,3.5,2.9,3
Caucasian (Indian),19,No,Female,Right,From another page on the test website,India,1.9,3.7,3.9,4.3,3.8
Caucasian (Indian),19,No,Female,Right,From another page on the test website,India,4.6,3.9,5,4.2,3.6
Caucasian (Indian),19,No,Female,Right,From another page on the test website,India,3.4,3.4,3.7,3.5,4.1
Caucasian (Indian),19,No,Female,Right,From another page on the test website,India,4.8,4.8,5,3.6,3.9
Caucasian (Indian),19,No,Female,Right,From another page on the test website,Pakistan,3.4,2.9,3.7,3.3,3.2
Caucasian (Indian),19,No,Female,Right,From another page on the test website,Pakistan,2.4,4.4,4.2,3.5,4.4
Caucasian (Indian),19,Yes,Female,Right,From another page on the test website,Fiji,4.5,3.3,4.5,3.5,3.9
Caucasian (Indian),19,Yes,Female,Right,From another page on the test website,United Kingdom,3.2,4.4,2.7,2.1,4.3
Caucasian (Indian),19,Yes,Female,Right,From another page on the test website,United Kingdom,4,4.8,3.8,2.1,3.9
Caucasian (Indian),19,Yes,Female,Right,From another page on the test website,India,3.1,4.6,3.9,1.5,4.8
Caucasian (Indian),19,Yes,Female,Right,From another page on the test website,India,3.5,4.2,3.8,1.7,3.8
Caucasian (Indian),19,Yes,Female,Right,From another page on the test website,India,1.5,4.5,3.7,3.4,2.9
Caucasian (Indian),19,Yes,Female,Right,From another page on the test website,India,1.1,4.4,3.5,2.6,4
Caucasian (Indian),19,Yes,Female,Right,From another page on the test website,India,2.9,3.3,3.1,4,4.2
Caucasian (Indian),19,Yes,Female,Right,From another page on the test website,Pakistan,4,3.3,3.3,2.6,3
Caucasian (Indian),19,Yes,Female,Right,From another page on the test website,United States,4.3,3.5,2.6,2.1,2.9
Caucasian (Indian),19,No,Male,Both,From another page on the test website,Canada,3,1.2,3,3.8,4.4
Caucasian (Indian),19,No,Male,Both,From another page on the test website,India,3.7,2.9,3,3.8,4.3
Caucasian (Indian),19,No,Male,Left,From another page on the test website,India,2.4,3.8,3.8,2.6,4.2
Caucasian (Indian),19,No,Male,Right,From another page on the test website,Europe,2.1,4.4,4.4,3.6,4.1
Caucasian (Indian),19,No,Male,Right,From another page on the test website,India,3.3,3.2,3.6,3.4,4
Caucasian (Indian),19,No,Male,Right,From another page on the test website,India,2.5,2.6,2,3.2,3.9
Caucasian (Indian),19,No,Male,Right,From another page on the test website,India,4.1,2.3,4.3,4,4.4
Caucasian (Indian),19,No,Male,Right,From another page on the test website,India,2.2,2.6,2.2,2.9,3.6
Caucasian (Indian),19,No,Male,Right,From another page on the test website,India,2.6,3.2,2.9,3,2.2
Caucasian (Indian),19,No,Male,Right,From another page on the test website,India,3.1,2.9,3,1.8,3.1
Caucasian (Indian),19,No,Male,Right,From another page on the test website,India,2.6,3.5,3.7,2.4,4.3
Caucasian (Indian),19,No,Male,Right,From another page on the test website,India,2.4,3.9,3.5,2.5,4.4
Caucasian (Indian),19,No,Male,Right,From another page on the test website,India,3.7,2.4,4.1,3.3,3.3
Caucasian (Indian),19,No,Male,Right,From another page on the test website,India,3.3,2.9,2.6,3.2,4.1
Caucasian (Indian),19,No,Male,Right,From another page on the test website,India,3.6,3.6,3.8,2.7,3.1
Caucasian (Indian),19,No,Male,Right,From another page on the test website,India,4.2,3,4.4,4.4,4.3
Caucasian (Indian),19,No,Male,Right,From another page on the test website,India,3.6,3.5,3.9,3.2,4.1
Caucasian (Indian),19,No,Male,Right,From another page on the test website,India,2.7,3.1,3.9,3,2.8
Caucasian (Indian),19,No,Male,Right,From another page on the test website,India,2.6,3.7,2.7,2.6,3.2
Caucasian (Indian),19,No,Male,Right,From another page on the test website,India,3.2,2.5,4.4,3.7,4.4
Caucasian (Indian),19,No,Male,Right,From another page on the test website,India,2.5,3.4,4.1,3.7,3.4
Caucasian (Indian),19,No,Male,Right,From another page on the test website,India,1.9,3.8,4.1,2.4,3.7
Caucasian (Indian),19,No,Male,Right,From another page on the test website,India,2.2,3.6,4,3.9,3.4
Caucasian (Indian),19,No,Male,Right,From another page on the test website,India,2.9,1.5,4.2,3.9,3.6
Caucasian (Indian),19,No,Male,Right,From another page on the test website,India,1.5,4,2.3,2.5,3.7
Caucasian (Indian),19,No,Male,Right,From another page on the test website,India,2.3,3.9,4,2.4,3.6
Caucasian (Indian),19,No,Male,Right,From another page on the test website,India,2.7,3.1,4.2,2.6,3.4
Caucasian (Indian),19,No,Male,Right,From another page on the test website,Pakistan,1.2,3.3,1.2,1.3,2.6
Caucasian (Indian),19,No,Male,Right,From another page on the test website,Pakistan,3.8,4.2,3.8,3.5,4
Caucasian (Indian),19,No,Male,Right,From another page on the test website,Pakistan,4.3,2.5,4.3,2.5,2.9
Caucasian (Indian),19,No,Male,Right,From another page on the test website,South Africa,4.1,2.3,4.7,2,4.2
Caucasian (Indian),19,Yes,Male,Right,From another page on the test website,India,4,1.8,4.1,4.9,4
Caucasian (Indian),19,Yes,Male,Right,From another page on the test website,India,3.5,2.9,3.5,2.9,3.5
Caucasian (Indian),19,Yes,Male,Right,From another page on the test website,India,2.7,3.3,3.4,2.5,3.8
Caucasian (Indian),19,Yes,Male,Right,From another page on the test website,India,4.4,2.9,4,2.2,3.3
Caucasian (Indian),19,Yes,Male,Right,From another page on the test website,India,3.5,2.2,2.7,3.9,3.9
Caucasian (Indian),19,Yes,Male,Right,From another page on the test website,India,3,2.2,4.6,4.2,4.6
Caucasian (Middle East),19,Yes,Female,Right,Other source,United States,4.4,2.4,4.2,3.4,3.6
Caucasian (Middle East),19,Yes,Female,Right,Other source,United States,3.3,4,4.9,4.3,4.3
Caucasian (Middle East),19,Yes,Female,Right,Other source,United States,2.7,3.1,4.3,3.4,3.6
Caucasian (Middle East),19,Yes,Female,Right,Other source,United States,4.4,3.1,4,4.1,4.3
Caucasian (Middle East),19,Yes,Female,Right,Other source,United States,4,3.4,4.5,3.1,2.8
Caucasian (Middle East),19,No,Female,Right,"From any url with "".edu"" in its domain name",Saudi Arabia,2.7,3.9,4.3,4.3,3.4
Caucasian (Middle East),19,Yes,Female,Left,From Google,Canada,3.3,2.7,3.5,3.6,3.8
Caucasian (Middle East),19,Yes,Female,Right,From Google,Canada,2.7,3.1,4.4,4.6,4.9
Caucasian (Middle East),19,Yes,Female,Right,From Google,United States,4.1,2.5,4,3.6,4
Caucasian (Middle East),19,Yes,Female,Right,From Google,United States,4.4,1.7,4.8,4.6,4.1
Caucasian (Middle East),19,Yes,Female,Right,From Google,United States,1.8,3,1.9,3.7,4.5
Caucasian (Middle East),19,No,Male,Right,From Google,Chile,2.6,3.1,3.5,2,4.8
Caucasian (Middle East),19,No,Male,Right,From Google,United States,4.3,1.6,4.3,3.8,4.3
Caucasian (Middle East),19,No,Female,Left,From another page on the test website,Canada,3.1,3.7,4.2,3.7,3.7
Caucasian (Middle East),19,No,Female,Right,From another page on the test website,United Arab Emirates,3.3,2.9,4,2.7,2.3
Caucasian (Middle East),19,No,Female,Right,From another page on the test website,Egypt,3.4,4.2,4.4,3.7,4.1
Caucasian (Middle East),19,No,Female,Right,From another page on the test website,Egypt,3.8,3.1,4.9,3.1,4.4
Caucasian (Middle East),19,No,Female,Right,From another page on the test website,Egypt,1.4,4.8,3.6,2.9,4.2
Caucasian (Middle East),19,No,Female,Right,From another page on the test website,Egypt,1.8,2.5,3.4,4.6,3.7
Caucasian (Middle East),19,No,Female,Right,From another page on the test website,Egypt,2.4,3.5,4.6,3.4,4.2
Caucasian (Middle East),19,No,Female,Right,From another page on the test website,United Kingdom,1.8,4.6,2.7,2.4,3.2
Caucasian (Middle East),19,No,Female,Right,From another page on the test website,Lebanon,3.4,3.7,3.5,3.2,3.5
Caucasian (Middle East),19,No,Female,Right,From another page on the test website,Saudi Arabia,2.1,3.3,3.2,2,4.9
Caucasian (Middle East),19,Yes,Female,Right,From another page on the test website,United States,3.2,3.6,4.9,4.2,3.6
Caucasian (Middle East),19,Yes,Female,Right,From another page on the test website,United States,4.1,2.9,3.8,3.9,4.5
Caucasian (Middle East),19,No,Male,Right,From another page on the test website,United Arab Emirates,1.7,3.7,4,3.3,3.8
Caucasian (Middle East),19,No,Male,Right,From another page on the test website,India,2,3.5,3.7,2.7,2.9
Caucasian (Middle East),19,No,Male,Right,From another page on the test website,Pakistan,2.8,3.4,3.8,3.6,4.4
Caucasian (Middle East),19,Yes,Male,Right,From another page on the test website,United States,2.2,3.2,4.1,4,4.1
"Caucasian (North African, Other)",19,Yes,Female,Left,Other source,United States,3.6,1.8,4.8,2.9,3.1
"Caucasian (North African, Other)",19,Yes,Female,Right,Other source,United States,2.8,2.6,3.7,2.6,4.2
"Caucasian (North African, Other)",19,Yes,Female,Right,Other source,United States,4.8,1.6,4.6,4.1,3.1
"Caucasian (North African, Other)",19,Yes,Female,Right,Other source,United States,3.7,3.9,4.9,1.8,3.9
"Caucasian (North African, Other)",19,Yes,Female,Right,Other source,United States,3.2,3.9,2.8,1.3,1.9
"Caucasian (North African, Other)",19,Yes,Female,Right,Other source,United States,3.2,4,4.2,3.7,4
"Caucasian (North African, Other)",19,Yes,Female,Right,Other source,United States,2,2.4,4.6,3.1,3.4
"Caucasian (North African, Other)",19,Yes,Female,Right,Other source,United States,4,1.8,4,3.9,3.6
"Caucasian (North African, Other)",19,Yes,Male,Right,Other source,United States,1.7,2.1,3.2,3.6,3.6
"Caucasian (North African, Other)",19,Yes,Male,Right,Other source,United States,3.7,3.5,4.3,2.3,3.7
"Caucasian (North African, Other)",19,Yes,Male,Right,Other source,United States,1.5,3.2,3.7,1.7,2.6
"Caucasian (North African, Other)",19,Yes,Female,Left,From Google,United States,3.7,2.2,4.6,2.7,4.7
"Caucasian (North African, Other)",19,Yes,Female,Left,From Google,United States,3.1,3.6,4.1,3.6,3.7
"Caucasian (North African, Other)",19,No,Female,Right,From Google,Europe,2.7,3.3,4.8,3.5,4.1
